,long,lat,OBJECTID,ID_Map,Ice,Snow,HH,HV,VH,VV,VV/HH,HV/HH,VH/VV
22,515494.323388729,6892631.632628359,28,,,7.0,-18.62109065055847,-31.408050060272217,-29.77854013442993,-17.49722719192505,1.143402338027954,0.2309892475605011,0.2449335753917694
0,514623.31039932277,6892175.330853996,23,,,8.0,-16.454583406448364,-31.08762264251709,-31.73511266708374,-18.04076075553894,0.8273793458938599,0.18480812013149261,0.21081751585006714
1,514735.8124048046,6892231.299798923,24,,,5.0,-17.68588423728943,-32.8372859954834,-31.61231756210327,-17.84090280532837,1.009311556816101,0.18179795145988464,0.20643627643585205
2,514878.89090522175,6892299.550257545,25,,,10.0,-18.074138164520264,-31.476914882659912,-31.54306173324585,-18.63813877105713,0.9387937188148499,0.21432583034038544,0.22370699048042297
3,515047.63791663526,6892381.735310726,26,,,5.0,-17.196567058563232,-30.449044704437256,-29.55045223236084,-18.353315591812134,0.8750594258308411,0.21856454014778137,0.2774944603443146
4,515238.7439295982,6892483.080074229,27,,,12.0,-16.41546368598938,-32.077460289001465,-30.43111801147461,-16.967960596084595,0.9243503212928772,0.1629050374031067,0.2204054743051529
5,515775.6831049741,6892832.239942432,44,,,11.0,-17.04111933708191,-31.024694442749023,-29.64149236679077,-17.13355541229248,0.9908260703086853,0.1998409777879715,0.2363867163658142
6,515949.1196772228,6892925.967104134,45,,,15.0,-16.51355743408203,-30.513577461242676,-31.447253227233887,-16.449761390686035,1.005129098892212,0.20078416168689728,0.18059410154819489
7,516118.00067902304,6893044.524926875,46,,,16.0,-18.843077421188354,-30.82411766052246,-31.08295202255249,-18.99077296257019,0.9937527775764465,0.25641098618507385,0.2507005035877228
# Image values are a mean over a 3x3 box
# Image: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/RS2_subAOIs/DeceptionBay/RS2_20170419/RS2_20170419_sub_cal_spk_rat2_TC2.tif
# Shp: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1704_D_thicknesses_transect_noship_WGS84.shp
# combined with notransect
