,long,lat,OBJECTID_1,ID_Map,Snow,Ice,HH,HV,VH,VV,VV/HH,HV/HH,VH/VV
11,661369.4778744222,6837137.921435035,12,K_19,15.0,59.0,-21.558678150177002,-30.08373498916626,-30.61250925064087,-21.379106044769287,1.0315419435501099,0.382438987493515,0.3489517569541931
12,660575.2083259482,6836033.067293327,13,K_16,14.0,71.0,-22.449657917022705,-30.350940227508545,-32.60462999343872,-22.384719848632812,1.0015511512756348,0.41587376594543457,0.3215589225292206
13,659288.008241898,6835550.717821336,14,K_15,9.0,67.0,-21.317672729492188,-31.902732849121094,-30.478177070617676,-21.495251655578613,0.9817424416542053,0.2957201302051544,0.3576083779335022
14,658596.3716030966,6834203.600422326,15,K_14,11.0,67.0,-22.217047214508057,-30.981733798980713,-30.411076545715332,-22.36572265625,0.9766949415206909,0.3672512471675873,0.40586960315704346
15,659319.2919589854,6833474.023500107,16,K_10,6.0,61.0,-23.34111452102661,-30.241198539733887,-31.77356481552124,-22.26806879043579,1.1555757522583008,0.4665910303592682,0.33816972374916077
16,660368.6032447927,6834427.058950951,17,K_13,10.0,65.0,-22.158427238464355,-30.517549514770508,-29.790210723876953,-21.72463893890381,1.0454206466674805,0.3810875117778778,0.405430406332016
17,661049.3509607257,6834863.917696279,18,K_12,25.0,62.0,-18.44295620918274,-28.404479026794434,-29.559202194213867,-19.430910348892212,0.9314310550689697,0.32651546597480774,0.31116992235183716
18,660803.961825695,6833485.528791518,19,K_11,12.0,76.0,-16.293821334838867,-28.594660758972168,-28.036842346191406,-15.460430383682251,1.1142421960830688,0.25153470039367676,0.23829637467861176
21,659501.3911845486,6842929.759442864,22,K_30,4.0,71.0,-16.152325868606567,-28.4440016746521,-28.715076446533203,-15.620925426483154,1.0637263059616089,0.24363470077514648,0.22484976053237915
22,661368.212964727,6843046.3934689285,23,K_29,6.0,73.0,-21.219360828399658,-31.938166618347168,-29.500985145568848,-21.256866455078125,0.9946967363357544,0.2962925136089325,0.40261077880859375
23,660384.9061872311,6842050.426604025,24,K_27,6.0,74.0,-17.476022243499756,-30.11723279953003,-31.43681526184082,-16.83666706085205,1.074190616607666,0.23488818109035492,0.1893939971923828
24,661594.2211101577,6841163.705939616,25,K_26,10.0,66.0,-20.353353023529053,-29.392428398132324,-29.33039426803589,-18.851242065429688,1.185600996017456,0.36503899097442627,0.31622815132141113
25,660238.6838276268,6840250.760922391,26,K_23,8.0,,-14.859716892242432,-28.00006866455078,-28.971726894378662,-15.633014440536499,0.9225771427154541,0.22473867237567902,0.21717463433742523
26,661082.2362629405,6839728.453381253,27,K_24,4.0,77.0,-21.619770526885986,-32.40790128707886,-30.892643928527832,-21.496517658233643,1.0212219953536987,0.2914963960647583,0.3418087065219879
27,660843.1761225812,6838474.367494,28,K_21,5.0,65.0,-21.179332733154297,-29.766769409179688,-32.071168422698975,-22.39461898803711,0.8777287602424622,0.3745490312576294,0.3294021487236023
28,659662.6689537854,6838904.145114381,29,K_20,3.0,75.0,-14.43639874458313,-28.33791732788086,-28.489036560058594,-15.210294723510742,0.9143014550209045,0.21427644789218903,0.23310793936252594
29,662245.4377326539,6839213.569414819,30,K_22,9.0,83.0,-20.539040565490723,-29.025728702545166,-30.23829698562622,-21.209194660186768,0.9256235957145691,0.37957626581192017,0.35902976989746094
# Image values are a mean over a 3x3 box
# Image: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/RS2_subAOIs/Kangiqsujuaq/RS2_20180129/RS2_20180129_sub_cal_spk_rat2_TC2.tif
# Shp: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1801_K_thicknesses_WGS84.shp
