,long,lat,OBJECTID,ID_Map,Ice,Snow,HH,HV,VH,VV,VV/HH,HV/HH,VH/VV
20,519298.263883599,6888678.733600439,21,D_Core_5,119.0,15.0,-17.331066131591797,-30.065724849700928,-30.900757312774658,-18.393806219100952,0.9047191739082336,0.23479565978050232,0.2371385544538498
21,516279.8550367975,6891452.763350433,22,D_Core_4,125.0,6.0,-17.09510564804077,-30.930895805358887,-31.80429220199585,-17.003804445266724,1.008756160736084,0.20325206220149994,0.18276691436767578
22,515494.323388729,6892631.632628359,28,,,7.0,-18.41624617576599,-31.618728637695312,-29.922235012054443,-17.840105295181274,1.0732883214950562,0.22223052382469177,0.2531043291091919
0,514623.31039932277,6892175.330853996,23,,,8.0,-16.42297863960266,-30.76345205307007,-31.52622699737549,-17.68718719482422,0.8599527478218079,0.19144278764724731,0.20660482347011566
1,514735.8124048046,6892231.299798923,24,,,5.0,-18.004738092422485,-32.013466358184814,-31.510579586029053,-17.8030526638031,1.0491406917572021,0.20631526410579681,0.20869988203048706
2,514878.89090522175,6892299.550257545,25,,,10.0,-17.917351722717285,-31.253018379211426,-31.346373558044434,-18.557292222976685,0.9303002953529358,0.21565507352352142,0.2269267439842224
3,515047.63791663526,6892381.735310726,26,,,5.0,-17.095335721969604,-30.720655918121338,-29.635069370269775,-18.547346591949463,0.8414516448974609,0.21030032634735107,0.2864350378513336
4,515238.7439295982,6892483.080074229,27,,,12.0,-16.826545000076294,-31.677794456481934,-30.450291633605957,-16.937336921691895,0.999390184879303,0.18636533617973328,0.22210554778575897
5,515775.6831049741,6892832.239942432,44,,,11.0,-17.168062925338745,-30.982794761657715,-29.34760808944702,-17.02601671218872,1.0224025249481201,0.2041008621454239,0.2413872480392456
6,515949.1196772228,6892925.967104134,45,,,15.0,-16.728509664535522,-30.540435314178467,-31.4190673828125,-16.856305599212646,0.975404679775238,0.20576196908950806,0.19524362683296204
7,516118.00067902304,6893044.524926875,46,,,16.0,-18.2993221282959,-30.86216926574707,-31.33216619491577,-18.59508514404297,0.9797409772872925,0.241684690117836,0.2360537350177765
# Image values are a mean over a 5x5 box
# Image: /Volumes/Crabe/Doctorat/BaieDeception/Donnees/Imagerie/RS2_subAOIs/DeceptionBay/RS2_20170419/RS2_20170419_sub_cal_spk_rat2_TC2.tif
# Shp: /Volumes/Crabe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1704_D_thicknesses_transect_noship_WGS84.shp
# combined with notransect
